27-8-2013 11:3:28.749	I : Interface: D:\JSW-SMS-3\SMC\source\TELCOM\TELCOM_IN\TELCOM_IN_Frame\Telcom_In.xml;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1157; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
27-8-2013 11:3:29.233	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
27-8-2013 11:3:29.233	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.249	I : Telcom_In->Head For TelCom use only; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.249	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.249	I : Telcom_In->CCSSMC01 Required ladle arrival time from CCS; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.249	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.249	I : Telcom_In->CCSSMC02 Caster and Heat status to SMC; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL200 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL201 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL205 End of Heat/Ladle Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.264	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.264	I : Telcom_In->EAL206 Heat Cancellation; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.280	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.280	I : Telcom_In->EAL207 Tapping Start/End; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.280	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.280	I : Telcom_In->EAL209 Sample Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.280	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.280	I : Telcom_In->EAL211 Temperature/CELOX Taken; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.280	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.280	I : Telcom_In->EAL214 Update Tap Ladle Data; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.280	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.280	I : Telcom_In->EAL215 Basket/Hotmetal Charging; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.296	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.296	I : Telcom_In->EAL216 Deslagging Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.296	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.296	I : Telcom_In->EAL217 Delay Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.296	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.296	I : Telcom_In->EAL220 Computer Modes; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.296	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.296	I : Telcom_In->EAL221 Furnace Status Roof/Gantry; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.311	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.311	I : Telcom_In->EAL222 Furnace Electrical Status; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
